Time (UT), 	 6-12 keV, 	 12-25 keV, 	 25-50 keV, 	 50-100 keV, 	 Attenuator State, 	 Eclipse State 
2013-08-30T02:03:28.000,	0.0,	0.0,	0.0,	0.0,	0.0,	1.0
2013-08-30T02:03:32.000,	0.0,	0.0,	0.0,	0.0,	0.0,	0.0
2013-08-30T02:03:36.000,	0.0,	0.0,	0.0,	0.0,	0.0,	0.0
2013-08-30T02:03:40.000,	0.0,	0.0,	0.0,	0.0,	0.0,	0.0
2013-08-30T02:03:44.000,	0.0,	0.0,	0.0,	0.0,	0.0,	0.0
2013-08-30T02:03:48.000,	0.0,	0.0,	0.0,	0.0,	0.0,	0.0
2013-08-30T02:03:52.000,	0.0,	0.0,	0.0,	0.0,	0.0,	0.0
2013-08-30T02:03:56.000,	1.11,	1.82,	6.14,	14.56,	0.0,	0.0
2013-08-30T02:04:00.000,	1.11,	1.82,	6.14,	14.56,	0.0,	0.0
2013-08-30T02:04:04.000,	1.11,	1.82,	6.14,	14.56,	0.0,	0.0
2013-08-30T02:04:08.000,	0.0,	0.0,	0.0,	0.0,	0.0,	0.0
2013-08-30T02:04:12.000,	0.0,	0.0,	0.0,	0.0,	0.0,	0.0
2013-08-30T02:04:16.000,	0.0,	0.0,	0.0,	0.0,	0.0,	0.0
2013-08-30T02:04:20.000,	0.0,	0.0,	0.0,	0.0,	0.0,	0.0
2013-08-30T02:04:24.000,	0.0,	0.0,	0.0,	0.0,	0.0,	0.0
2013-08-30T02:04:28.000,	0.0,	0.0,	0.0,	0.0,	0.0,	0.0
2013-08-30T02:04:32.000,	0.0,	0.0,	0.0,	0.0,	0.0,	0.0
2013-08-30T02:04:36.000,	0.0,	0.0,	0.0,	0.0,	0.0,	0.0
2013-08-30T02:04:40.000,	0.0,	0.0,	0.0,	0.0,	0.0,	0.0
2013-08-30T02:04:44.000,	0.0,	0.0,	0.0,	0.0,	0.0,	0.0
2013-08-30T02:04:48.000,	0.0,	0.0,	0.0,	0.0,	0.0,	0.0
2013-08-30T02:04:52.000,	0.0,	0.0,	0.0,	0.0,	0.0,	0.0
2013-08-30T02:04:56.000,	0.0,	0.0,	0.0,	0.0,	0.0,	0.0
2013-08-30T02:05:00.000,	0.0,	0.0,	0.0,	0.0,	0.0,	0.0
2013-08-30T02:05:04.000,	0.0,	0.0,	0.0,	0.0,	0.0,	0.0
2013-08-30T02:05:08.000,	0.0,	0.0,	0.0,	0.0,	0.0,	0.0
2013-08-30T02:05:12.000,	0.0,	0.0,	0.0,	0.0,	0.0,	0.0
2013-08-30T02:05:16.000,	0.0,	0.0,	0.0,	0.0,	0.0,	0.0
2013-08-30T02:05:20.000,	0.0,	0.0,	0.0,	0.0,	0.0,	0.0
2013-08-30T02:05:24.000,	0.0,	0.0,	0.0,	0.0,	0.0,	0.0
2013-08-30T02:05:28.000,	0.0,	0.0,	0.0,	0.0,	0.0,	0.0
2013-08-30T02:05:32.000,	0.0,	0.0,	0.0,	0.0,	0.0,	0.0
2013-08-30T02:05:36.000,	0.0,	0.0,	0.0,	0.0,	0.0,	0.0
2013-08-30T02:05:40.000,	0.0,	0.0,	0.0,	0.0,	0.0,	0.0
2013-08-30T02:05:44.000,	0.0,	0.0,	0.0,	0.0,	0.0,	0.0
2013-08-30T02:05:48.000,	0.0,	0.0,	0.0,	0.0,	0.0,	0.0
2013-08-30T02:05:52.000,	1.97,	3.07,	10.26,	24.28,	0.0,	0.0
2013-08-30T02:05:56.000,	8.09,	3.63,	10.57,	24.37,	0.0,	0.0
2013-08-30T02:06:00.000,	7.3,	4.18,	10.88,	24.46,	0.0,	0.0
2013-08-30T02:06:04.000,	7.7,	4.19,	10.88,	24.47,	0.0,	0.0
2013-08-30T02:06:08.000,	8.09,	4.12,	10.57,	25.1,	0.0,	0.0
2013-08-30T02:06:12.000,	7.7,	4.2,	10.89,	24.47,	0.0,	0.0
2013-08-30T02:06:16.000,	7.7,	3.85,	9.33,	27.63,	0.0,	0.0
2013-08-30T02:06:20.000,	8.09,	4.55,	9.33,	24.65,	0.0,	0.0
2013-08-30T02:06:24.000,	8.09,	4.2,	10.89,	24.75,	0.0,	0.0
2013-08-30T02:06:28.000,	8.48,	4.2,	10.12,	24.84,	0.0,	0.0
2013-08-30T02:06:32.000,	8.48,	4.55,	10.21,	24.94,	0.0,	0.0
2013-08-30T02:06:36.000,	8.48,	4.55,	10.29,	28.16,	0.0,	0.0
2013-08-30T02:06:40.000,	8.88,	4.9,	10.37,	25.12,	0.0,	0.0
2013-08-30T02:06:44.000,	9.27,	4.9,	11.26,	25.22,	0.0,	0.0
2013-08-30T02:06:48.000,	8.48,	4.55,	9.72,	23.73,	0.0,	0.0
2013-08-30T02:06:52.000,	9.27,	4.55,	10.62,	25.4,	0.0,	0.0
2013-08-30T02:06:56.000,	8.88,	4.55,	9.87,	25.5,	0.0,	0.0
2013-08-30T02:07:00.000,	9.67,	4.55,	10.78,	25.59,	0.0,	0.0
2013-08-30T02:07:04.000,	10.06,	4.55,	10.03,	25.68,	0.0,	0.0
2013-08-30T02:07:08.000,	10.06,	4.9,	11.78,	29.0,	0.0,	0.0
2013-08-30T02:07:12.000,	9.27,	4.9,	10.18,	25.87,	0.0,	0.0
2013-08-30T02:07:16.000,	9.67,	4.9,	10.25,	25.96,	0.0,	0.0
2013-08-30T02:07:20.000,	10.06,	4.9,	10.33,	26.06,	0.0,	0.0
2013-08-30T02:07:24.000,	9.67,	4.9,	11.27,	26.15,	0.0,	0.0
2013-08-30T02:07:28.000,	10.06,	4.9,	10.48,	26.24,	0.0,	0.0
2013-08-30T02:07:32.000,	10.06,	4.55,	11.43,	26.34,	0.0,	0.0
2013-08-30T02:07:36.000,	10.06,	4.2,	11.51,	26.43,	0.0,	0.0
2013-08-30T02:07:40.000,	11.25,	5.25,	11.6,	26.52,	0.0,	0.0
2013-08-30T02:07:44.000,	10.85,	5.25,	11.68,	26.62,	0.0,	0.0
2013-08-30T02:07:48.000,	10.85,	5.25,	10.86,	30.05,	0.0,	0.0
2013-08-30T02:07:52.000,	10.06,	4.9,	10.93,	25.13,	0.0,	0.0
2013-08-30T02:07:56.000,	11.25,	5.6,	11.92,	25.22,	0.0,	0.0
2013-08-30T02:08:00.000,	10.46,	5.6,	12.01,	25.31,	0.0,	0.0
2013-08-30T02:08:04.000,	10.85,	5.95,	12.09,	27.09,	0.0,	0.0
2013-08-30T02:08:08.000,	11.64,	5.95,	11.23,	25.48,	0.0,	0.0
2013-08-30T02:08:12.000,	11.64,	6.65,	11.31,	27.27,	0.0,	0.0
2013-08-30T02:08:16.000,	12.04,	6.3,	12.33,	27.37,	0.0,	0.0
2013-08-30T02:08:20.000,	12.43,	6.3,	12.41,	27.46,	0.0,	0.0
2013-08-30T02:08:24.000,	12.43,	6.65,	12.5,	27.55,	0.0,	0.0
2013-08-30T02:08:28.000,	12.43,	6.3,	10.64,	27.65,	0.0,	0.0
2013-08-30T02:08:32.000,	12.43,	6.65,	13.63,	26.01,	0.0,	0.0
2013-08-30T02:08:36.000,	12.04,	5.6,	12.74,	26.09,	0.0,	0.0
2013-08-30T02:08:40.000,	12.43,	5.95,	10.85,	27.93,	0.0,	0.0
2013-08-30T02:08:44.000,	13.22,	6.3,	11.91,	28.02,	0.0,	0.0
2013-08-30T02:08:48.000,	12.43,	6.3,	13.99,	28.11,	0.0,	0.0
2013-08-30T02:08:52.000,	13.22,	6.65,	13.07,	28.21,	0.0,	0.0
2013-08-30T02:08:56.000,	12.43,	5.6,	13.15,	28.3,	0.0,	0.0
2013-08-30T02:09:00.000,	13.22,	5.95,	12.21,	28.39,	0.0,	0.0
2013-08-30T02:09:04.000,	13.22,	5.95,	12.29,	28.49,	0.0,	0.0
2013-08-30T02:09:08.000,	14.01,	6.65,	12.37,	28.58,	0.0,	0.0
2013-08-30T02:09:12.000,	14.01,	7.0,	13.48,	28.68,	0.0,	0.0
2013-08-30T02:09:16.000,	14.01,	7.35,	12.52,	28.77,	0.0,	0.0
2013-08-30T02:09:20.000,	14.8,	8.05,	13.64,	27.06,	0.0,	0.0
2013-08-30T02:09:24.000,	14.01,	7.7,	12.67,	27.15,	0.0,	0.0
2013-08-30T02:09:28.000,	14.01,	7.0,	12.74,	27.23,	0.0,	0.0
2013-08-30T02:09:32.000,	15.59,	9.1,	16.02,	29.14,	0.0,	0.0
2013-08-30T02:09:36.000,	14.8,	8.05,	13.97,	29.24,	0.0,	0.0
2013-08-30T02:09:40.000,	14.8,	9.1,	12.97,	29.33,	0.0,	0.0
2013-08-30T02:09:44.000,	15.59,	8.4,	14.13,	27.58,	0.0,	0.0
2013-08-30T02:09:48.000,	17.17,	9.8,	14.21,	29.52,	0.0,	0.0
2013-08-30T02:09:52.000,	16.38,	8.4,	14.3,	27.76,	0.0,	0.0
2013-08-30T02:09:56.000,	15.59,	8.4,	14.38,	27.85,	0.0,	0.0
2013-08-30T02:10:00.000,	16.38,	8.05,	13.35,	27.94,	0.0,	0.0
2013-08-30T02:10:04.000,	17.17,	9.1,	14.54,	26.15,	0.0,	0.0
2013-08-30T02:10:08.000,	17.17,	9.8,	13.5,	28.11,	0.0,	0.0
2013-08-30T02:10:12.000,	17.17,	9.8,	12.44,	28.2,	0.0,	0.0
2013-08-30T02:10:16.000,	18.74,	9.8,	14.79,	28.29,	0.0,	0.0
2013-08-30T02:10:20.000,	17.96,	10.5,	13.72,	28.37,	0.0,	0.0
2013-08-30T02:10:24.000,	18.74,	10.5,	12.65,	30.36,	0.0,	0.0
2013-08-30T02:10:28.000,	18.74,	10.5,	13.87,	28.55,	0.0,	0.0
2013-08-30T02:10:32.000,	17.17,	9.8,	13.95,	26.73,	0.0,	0.0
2013-08-30T02:10:36.000,	17.96,	9.8,	12.86,	28.72,	0.0,	0.0
2013-08-30T02:10:40.000,	20.32,	11.2,	15.28,	28.81,	0.0,	0.0
2013-08-30T02:10:44.000,	19.53,	11.2,	16.54,	28.9,	0.0,	0.0
2013-08-30T02:10:48.000,	18.74,	9.8,	14.25,	28.99,	0.0,	0.0
2013-08-30T02:10:52.000,	20.32,	11.2,	13.13,	29.07,	0.0,	0.0
2013-08-30T02:10:56.000,	18.74,	10.5,	13.2,	27.22,	0.0,	0.0
2013-08-30T02:11:00.000,	20.32,	11.2,	14.48,	27.3,	0.0,	0.0
2013-08-30T02:11:04.000,	21.11,	11.2,	15.77,	29.34,	0.0,	0.0
2013-08-30T02:11:08.000,	21.11,	11.2,	15.85,	29.43,	0.0,	0.0
2013-08-30T02:11:12.000,	19.53,	10.5,	14.71,	27.55,	0.0,	0.0
