Time (UT), 	 6-12 keV, 	 12-25 keV, 	 25-50 keV, 	 50-100 keV, 	 Attenuator State, 	 Eclipse State 
2014-04-18T12:50:04.000,	760.0,	172.22,	9.45,	14.22,	0.0,	1.0
2014-04-18T12:50:08.000,	608.0,	200.93,	10.64,	14.22,	0.0,	0.0
2014-04-18T12:50:12.000,	608.0,	172.22,	9.45,	14.22,	0.0,	0.0
2014-04-18T12:50:16.000,	760.0,	200.93,	9.45,	14.22,	0.0,	0.0
2014-04-18T12:50:20.000,	758.4,	241.73,	10.64,	16.0,	0.0,	0.0
2014-04-18T12:50:24.000,	808.0,	278.5,	21.27,	17.78,	0.0,	0.0
2014-04-18T12:50:28.000,	826.88,	317.69,	31.06,	20.84,	0.0,	0.0
2014-04-18T12:50:32.000,	856.0,	356.07,	41.13,	23.47,	0.0,	0.0
2014-04-18T12:50:36.000,	880.0,	394.86,	51.05,	26.31,	1.0,	0.0
2014-04-18T12:50:40.000,	903.04,	433.42,	58.05,	28.59,	1.0,	0.0
2014-04-18T12:50:44.000,	928.0,	472.43,	70.91,	32.0,	1.0,	0.0
2014-04-18T12:50:48.000,	947.2,	510.12,	66.18,	32.0,	1.0,	0.0
2014-04-18T12:50:52.000,	976.0,	550.0,	75.64,	35.56,	1.0,	0.0
2014-04-18T12:50:56.000,	976.0,	583.33,	80.36,	35.56,	1.0,	0.0
2014-04-18T12:51:00.000,	1008.0,	583.33,	85.09,	35.56,	1.0,	0.0
2014-04-18T12:51:04.000,	1008.0,	583.33,	75.64,	32.0,	1.0,	0.0
2014-04-18T12:51:08.000,	1072.0,	616.67,	80.36,	32.0,	1.0,	0.0
2014-04-18T12:51:12.000,	976.0,	550.0,	66.18,	32.0,	1.0,	0.0
2014-04-18T12:51:16.000,	1072.0,	583.33,	70.91,	32.0,	1.0,	0.0
2014-04-18T12:51:20.000,	1072.0,	616.67,	66.18,	35.56,	1.0,	0.0
2014-04-18T12:51:24.000,	1072.0,	583.33,	56.73,	32.0,	1.0,	0.0
2014-04-18T12:51:28.000,	1072.0,	583.33,	56.73,	28.44,	1.0,	0.0
2014-04-18T12:51:32.000,	1072.0,	583.33,	54.36,	28.44,	1.0,	0.0
2014-04-18T12:51:36.000,	1136.0,	616.67,	52.0,	28.44,	1.0,	0.0
2014-04-18T12:51:40.000,	1136.0,	583.33,	47.27,	26.67,	1.0,	0.0
2014-04-18T12:51:44.000,	1136.0,	616.67,	42.55,	24.89,	1.0,	0.0
2014-04-18T12:51:48.000,	1200.0,	650.0,	44.91,	28.44,	1.0,	0.0
2014-04-18T12:51:52.000,	1200.0,	616.67,	49.64,	26.67,	1.0,	0.0
2014-04-18T12:51:56.000,	1264.0,	683.33,	52.0,	28.44,	1.0,	0.0
2014-04-18T12:52:00.000,	1264.0,	683.33,	56.73,	32.0,	1.0,	0.0
2014-04-18T12:52:04.000,	1328.0,	716.67,	61.45,	32.0,	1.0,	0.0
2014-04-18T12:52:08.000,	1264.0,	683.33,	56.73,	28.44,	1.0,	0.0
2014-04-18T12:52:12.000,	1264.0,	683.33,	66.18,	32.0,	1.0,	0.0
2014-04-18T12:52:16.000,	1328.0,	716.67,	75.64,	32.0,	1.0,	0.0
2014-04-18T12:52:20.000,	1264.0,	716.67,	75.64,	32.0,	1.0,	0.0
2014-04-18T12:52:24.000,	1328.0,	750.0,	85.09,	35.56,	1.0,	0.0
2014-04-18T12:52:28.000,	1392.0,	783.33,	99.27,	42.67,	1.0,	0.0
2014-04-18T12:52:32.000,	1328.0,	750.0,	94.55,	42.67,	1.0,	0.0
2014-04-18T12:52:36.000,	1392.0,	783.33,	104.0,	46.22,	1.0,	0.0
2014-04-18T12:52:40.000,	1328.0,	783.33,	104.0,	42.67,	1.0,	0.0
2014-04-18T12:52:44.000,	1456.0,	816.67,	108.73,	46.22,	1.0,	0.0
2014-04-18T12:52:48.000,	1456.0,	816.67,	113.45,	53.33,	1.0,	0.0
2014-04-18T12:52:52.000,	1456.0,	850.0,	118.18,	53.33,	1.0,	0.0
2014-04-18T12:52:56.000,	1520.0,	883.33,	132.36,	60.44,	1.0,	0.0
2014-04-18T12:53:00.000,	1584.0,	916.67,	141.82,	64.0,	1.0,	0.0
2014-04-18T12:53:04.000,	1712.0,	950.0,	151.27,	64.0,	1.0,	0.0
2014-04-18T12:53:08.000,	1648.0,	950.0,	141.82,	67.56,	1.0,	0.0
2014-04-18T12:53:12.000,	1712.0,	950.0,	132.36,	67.56,	1.0,	0.0
2014-04-18T12:53:16.000,	1584.0,	883.33,	127.64,	64.0,	1.0,	0.0
2014-04-18T12:53:20.000,	1648.0,	883.33,	118.18,	60.44,	1.0,	0.0
2014-04-18T12:53:24.000,	1648.0,	916.67,	122.91,	56.89,	1.0,	0.0
2014-04-18T12:53:28.000,	1584.0,	850.0,	108.73,	56.89,	1.0,	0.0
2014-04-18T12:53:32.000,	1712.0,	883.33,	118.18,	56.89,	1.0,	0.0
2014-04-18T12:53:36.000,	1776.0,	950.0,	122.91,	64.0,	1.0,	0.0
2014-04-18T12:53:40.000,	1712.0,	916.67,	118.18,	60.44,	1.0,	0.0
2014-04-18T12:53:44.000,	1648.0,	916.67,	122.91,	64.0,	1.0,	0.0
2014-04-18T12:53:48.000,	1712.0,	950.0,	132.36,	67.56,	1.0,	0.0
