Time (UT), 	 6-12 keV, 	 12-25 keV, 	 25-50 keV, 	 50-100 keV, 	 Attenuator State, 	 Eclipse State 
2011-02-15T01:26:40.000,	0.97,	4.4,	14.77,	42.0,	0.0,	1.0
2011-02-15T01:26:44.000,	0.77,	4.4,	14.77,	43.91,	0.0,	0.0
2011-02-15T01:26:48.000,	0.71,	4.0,	14.77,	43.91,	0.0,	0.0
2011-02-15T01:26:52.000,	0.84,	4.0,	14.77,	43.91,	0.0,	0.0
2011-02-15T01:26:56.000,	0.84,	4.8,	14.77,	42.0,	0.0,	0.0
2011-02-15T01:27:00.000,	0.77,	4.8,	14.77,	42.0,	0.0,	0.0
2011-02-15T01:27:04.000,	1.03,	4.0,	14.77,	42.0,	0.0,	0.0
2011-02-15T01:27:08.000,	1.29,	4.0,	16.62,	42.0,	0.0,	0.0
2011-02-15T01:27:12.000,	1.54,	4.4,	14.77,	43.91,	0.0,	0.0
2011-02-15T01:27:16.000,	1.67,	4.4,	14.77,	42.0,	0.0,	0.0
2011-02-15T01:27:20.000,	1.8,	4.4,	14.77,	43.91,	0.0,	0.0
2011-02-15T01:27:24.000,	1.8,	4.4,	14.77,	45.82,	0.0,	0.0
2011-02-15T01:27:28.000,	1.67,	4.8,	14.77,	43.91,	0.0,	0.0
2011-02-15T01:27:32.000,	1.8,	4.8,	14.77,	43.91,	0.0,	0.0
2011-02-15T01:27:36.000,	1.54,	4.4,	16.62,	42.0,	0.0,	0.0
2011-02-15T01:27:40.000,	1.8,	4.8,	14.77,	43.91,	0.0,	0.0
2011-02-15T01:27:44.000,	1.54,	4.4,	14.77,	42.0,	0.0,	0.0
2011-02-15T01:27:48.000,	1.67,	4.0,	16.62,	42.0,	0.0,	0.0
2011-02-15T01:27:52.000,	1.93,	4.4,	14.77,	45.82,	0.0,	0.0
2011-02-15T01:27:56.000,	1.54,	4.4,	16.62,	43.91,	0.0,	0.0
2011-02-15T01:28:00.000,	2.06,	4.8,	18.46,	45.82,	0.0,	0.0
2011-02-15T01:28:04.000,	1.8,	4.4,	16.62,	43.91,	0.0,	0.0
2011-02-15T01:28:08.000,	2.06,	4.4,	14.77,	42.0,	0.0,	0.0
2011-02-15T01:28:12.000,	1.67,	4.8,	16.62,	43.91,	0.0,	0.0
2011-02-15T01:28:16.000,	1.67,	4.8,	16.62,	42.0,	0.0,	0.0
2011-02-15T01:28:20.000,	1.93,	4.4,	16.62,	45.82,	0.0,	0.0
2011-02-15T01:28:24.000,	1.8,	4.4,	16.62,	43.91,	0.0,	0.0
2011-02-15T01:28:28.000,	1.67,	4.8,	14.77,	43.91,	0.0,	0.0
2011-02-15T01:28:32.000,	1.8,	4.8,	16.62,	42.0,	0.0,	0.0
2011-02-15T01:28:36.000,	1.8,	4.4,	16.62,	43.91,	0.0,	0.0
2011-02-15T01:28:40.000,	1.93,	4.4,	16.62,	42.0,	0.0,	0.0
2011-02-15T01:28:44.000,	2.19,	4.4,	14.77,	43.91,	0.0,	0.0
2011-02-15T01:28:48.000,	2.19,	4.4,	16.62,	43.91,	0.0,	0.0
2011-02-15T01:28:52.000,	1.93,	5.2,	16.62,	45.82,	0.0,	0.0
2011-02-15T01:28:56.000,	2.32,	4.8,	14.77,	43.91,	0.0,	0.0
2011-02-15T01:29:00.000,	2.19,	4.4,	14.77,	43.91,	0.0,	0.0
2011-02-15T01:29:04.000,	2.57,	4.8,	16.62,	45.82,	0.0,	0.0
2011-02-15T01:29:08.000,	2.19,	4.8,	14.77,	45.82,	0.0,	0.0
2011-02-15T01:29:12.000,	2.57,	4.4,	14.77,	42.0,	0.0,	0.0
2011-02-15T01:29:16.000,	2.57,	5.2,	14.77,	40.09,	0.0,	0.0
2011-02-15T01:29:20.000,	2.45,	4.4,	16.62,	42.0,	0.0,	0.0
2011-02-15T01:29:24.000,	2.83,	4.8,	16.62,	45.82,	0.0,	0.0
2011-02-15T01:29:28.000,	2.83,	4.4,	13.85,	43.91,	0.0,	0.0
2011-02-15T01:29:32.000,	2.7,	5.2,	16.62,	43.91,	0.0,	0.0
2011-02-15T01:29:36.000,	2.57,	4.8,	16.62,	42.0,	0.0,	0.0
2011-02-15T01:29:40.000,	2.83,	4.8,	14.77,	45.82,	0.0,	0.0
2011-02-15T01:29:44.000,	2.96,	4.4,	14.77,	42.0,	0.0,	0.0
2011-02-15T01:29:48.000,	3.35,	4.8,	16.62,	43.91,	0.0,	0.0
2011-02-15T01:29:52.000,	3.09,	4.8,	16.62,	43.91,	0.0,	0.0
2011-02-15T01:29:56.000,	3.86,	5.2,	16.62,	43.91,	0.0,	0.0
2011-02-15T01:30:00.000,	3.86,	5.6,	16.62,	43.91,	0.0,	0.0
2011-02-15T01:30:04.000,	3.6,	4.8,	14.77,	43.91,	0.0,	0.0
2011-02-15T01:30:08.000,	3.86,	5.2,	16.62,	45.82,	0.0,	0.0
2011-02-15T01:30:12.000,	4.12,	5.2,	14.77,	43.91,	0.0,	0.0
2011-02-15T01:30:16.000,	4.12,	4.8,	16.62,	43.91,	0.0,	0.0
2011-02-15T01:30:20.000,	4.12,	4.4,	14.77,	43.91,	0.0,	0.0
2011-02-15T01:30:24.000,	4.12,	5.2,	16.62,	43.91,	0.0,	0.0
2011-02-15T01:30:28.000,	4.12,	5.6,	16.62,	43.91,	0.0,	0.0
2011-02-15T01:30:32.000,	4.12,	4.4,	16.62,	45.82,	0.0,	0.0
2011-02-15T01:30:36.000,	4.12,	5.6,	16.62,	45.82,	0.0,	0.0
2011-02-15T01:30:40.000,	4.38,	5.6,	16.62,	43.91,	0.0,	0.0
2011-02-15T01:30:44.000,	4.12,	5.6,	14.77,	43.91,	0.0,	0.0
2011-02-15T01:30:48.000,	4.38,	5.6,	16.62,	43.91,	0.0,	0.0
2011-02-15T01:30:52.000,	4.63,	5.6,	16.62,	43.91,	0.0,	0.0
2011-02-15T01:30:56.000,	4.12,	5.2,	14.77,	42.0,	0.0,	0.0
2011-02-15T01:31:00.000,	3.86,	5.2,	16.62,	43.91,	0.0,	0.0
2011-02-15T01:31:04.000,	3.86,	5.6,	16.62,	42.0,	0.0,	0.0
2011-02-15T01:31:08.000,	4.63,	5.2,	16.62,	43.91,	0.0,	0.0
2011-02-15T01:31:12.000,	4.89,	5.6,	16.62,	43.91,	0.0,	0.0
2011-02-15T01:31:16.000,	5.15,	6.0,	14.77,	43.91,	0.0,	0.0
2011-02-15T01:31:20.000,	5.15,	6.4,	16.62,	43.91,	0.0,	0.0
2011-02-15T01:31:24.000,	5.92,	6.0,	14.77,	45.82,	0.0,	0.0
2011-02-15T01:31:28.000,	5.66,	6.0,	14.77,	42.0,	0.0,	0.0
2011-02-15T01:31:32.000,	5.92,	6.4,	16.62,	42.0,	0.0,	0.0
2011-02-15T01:31:36.000,	6.69,	6.4,	16.62,	45.82,	0.0,	0.0
2011-02-15T01:31:40.000,	6.43,	6.4,	16.62,	43.91,	0.0,	0.0
2011-02-15T01:31:44.000,	6.43,	7.2,	16.62,	45.82,	0.0,	0.0
2011-02-15T01:31:48.000,	8.24,	7.2,	16.62,	45.82,	0.0,	0.0
2011-02-15T01:31:52.000,	8.24,	8.0,	16.62,	43.91,	0.0,	0.0
2011-02-15T01:31:56.000,	9.27,	8.8,	16.62,	43.91,	0.0,	0.0
2011-02-15T01:32:00.000,	10.3,	10.4,	16.62,	43.91,	0.0,	0.0
2011-02-15T01:32:04.000,	11.84,	12.0,	18.46,	45.82,	0.0,	0.0
2011-02-15T01:32:08.000,	12.87,	12.0,	16.62,	45.82,	0.0,	0.0
2011-02-15T01:32:12.000,	13.38,	12.0,	14.77,	45.82,	0.0,	0.0
2011-02-15T01:32:16.000,	16.47,	13.6,	16.62,	43.91,	0.0,	0.0
2011-02-15T01:32:20.000,	17.5,	15.2,	18.46,	45.82,	0.0,	0.0
2011-02-15T01:32:24.000,	17.5,	15.2,	18.46,	45.82,	0.0,	0.0
2011-02-15T01:32:28.000,	17.5,	13.6,	14.77,	42.0,	0.0,	0.0
2011-02-15T01:32:32.000,	20.59,	16.0,	16.62,	43.91,	0.0,	0.0
2011-02-15T01:32:36.000,	20.59,	14.4,	16.62,	45.82,	0.0,	0.0
2011-02-15T01:32:40.000,	18.53,	12.0,	16.62,	43.91,	0.0,	0.0
2011-02-15T01:32:44.000,	19.56,	12.8,	16.62,	45.82,	0.0,	0.0
2011-02-15T01:32:48.000,	20.59,	12.0,	16.62,	42.0,	0.0,	0.0
2011-02-15T01:32:52.000,	19.56,	12.0,	16.62,	43.91,	0.0,	0.0
2011-02-15T01:32:56.000,	18.53,	11.2,	18.46,	42.0,	0.0,	0.0
2011-02-15T01:33:00.000,	21.62,	14.4,	16.62,	45.82,	0.0,	0.0
2011-02-15T01:33:04.000,	20.59,	12.8,	16.62,	45.82,	0.0,	0.0
2011-02-15T01:33:08.000,	21.62,	12.0,	16.62,	45.82,	0.0,	0.0
2011-02-15T01:33:12.000,	18.53,	9.6,	16.62,	45.82,	0.0,	0.0
2011-02-15T01:33:16.000,	21.62,	10.4,	18.46,	43.91,	0.0,	0.0
2011-02-15T01:33:20.000,	25.74,	11.2,	18.46,	45.82,	0.0,	0.0
2011-02-15T01:33:24.000,	25.74,	11.2,	16.62,	43.91,	0.0,	0.0
2011-02-15T01:33:28.000,	21.62,	10.4,	18.46,	45.82,	0.0,	0.0
2011-02-15T01:33:32.000,	22.65,	10.4,	16.62,	45.82,	0.0,	0.0
2011-02-15T01:33:36.000,	25.74,	10.4,	18.46,	45.82,	0.0,	0.0
2011-02-15T01:33:40.000,	24.71,	8.8,	18.46,	45.82,	0.0,	0.0
2011-02-15T01:33:44.000,	24.71,	11.2,	18.46,	42.0,	0.0,	0.0
2011-02-15T01:33:48.000,	25.74,	11.2,	16.62,	43.91,	0.0,	0.0
2011-02-15T01:33:52.000,	22.65,	8.8,	16.62,	43.91,	0.0,	0.0
